1560;60000;3087;" 54,24"
1670;60000;3087;" 58,84"
1780;60000;3087;" 63,45"
1890;60000;3087;" 68,37"
2000;60000;3087;" 73,19"
2110;60000;3087;" 78,40"
2220;60000;3087;" 83,59"
2330;60000;3087;" 88,82"
2440;60000;3087;" 94,08"
2550;60000;3087;" 99,72"
3040;60000;3087;"100,00"
;;;
10;200;1456;"  0,01"
120;200;1456;"  7,11"
230;200;1456;" 15,11"
340;200;1456;" 23,11"
450;200;1456;" 31,20"
560;200;1456;" 38,98"
670;200;1456;" 47,12"
780;200;1456;" 54,92"
890;200;1456;" 62,41"
1000;200;1456;" 70,17"
1110;200;1456;" 78,31"
1220;200;1456;" 86,09"
1330;200;1456;" 94,13"
;;;
20;20000;1996;"  1,38"
130;20000;1996;"  5,79"
240;20000;1996;"  8,98"
350;20000;1996;" 12,86"
460;20000;1996;" 17,32"
570;20000;1996;" 22,19"
680;20000;1996;" 27,74"
790;20000;1996;" 33,39"
900;20000;1996;" 39,54"
1010;20000;1996;" 45,62"
1120;20000;1996;" 52,12"
1230;20000;1996;" 58,54"
1340;20000;1996;" 65,37"
1450;20000;1996;" 72,06"
1560;20000;1996;" 79,16"
1670;20000;1996;" 85,97"
1780;20000;1996;" 93,17"
2010;20000;1996;"100,00"
;;;
50;40000;2542;"  3,97"
160;40000;2542;"  9,74"
270;40000;2542;" 12,09"
380;40000;2542;" 14,85"
490;40000;2542;" 17,81"
600;40000;2542;" 21,25"
710;40000;2542;" 24,94"
820;40000;2542;" 29,10"
930;40000;2542;" 33,34"
1040;40000;2542;" 38,05"
1150;40000;2542;" 42,79"
1260;40000;2542;" 47,71"
1370;40000;2542;" 52,80"
1480;40000;2542;" 58,28"
1590;40000;2542;" 63,80"
1700;40000;2542;" 69,62"
1810;40000;2542;" 75,07"
1920;40000;2542;" 80,96"
2030;40000;2542;" 87,14"
2140;40000;2542;" 93,20"
2250;40000;2542;" 99,45"
2560;40000;2542;"100,00"
;;;
0;60000;3087;"  0,01"
110;60000;3087;"  8,90"
230;60000;3087;" 14,55"
340;60000;3087;" 16,58"
450;60000;3087;" 19,03"
560;60000;3087;" 21,62"
670;60000;3087;" 24,58"
780;60000;3087;" 27,58"
890;60000;3087;" 30,85"
1000;60000;3087;" 34,25"
1110;60000;3087;" 37,98"
1220;60000;3087;" 41,81"
1330;60000;3087;" 45,90"
1440;60000;3087;" 50,02"
1550;60000;3087;" 54,38"
1660;60000;3087;" 58,65"
1770;60000;3087;" 63,23"
1880;60000;3087;" 68,15"
1990;60000;3087;" 73,19"
2100;60000;3087;" 78,37"
2210;60000;3087;" 83,51"
2320;60000;3087;" 88,58"
2430;60000;3087;" 94,08"
2540;60000;3087;" 99,50"
3030;60000;3087;"100,00"
;;;
0;200;1456;"  0,01"
110;200;1456;"  7,23"
